,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,label
77,0.49,0.5,0.5,0.55,0.48,0.32,0.69,0.36,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0
78,0.48,0.5,0.5,0.55,0.47,0.32,0.69,0.35,0.33,0.31,0.31,0.31,0.31,0.3,0.31,0.31,0.32,0.31,0.32,0
79,0.47,0.5,0.5,0.49,0.46,0.32,0.68,0.32,0.34,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0
80,0.5,0.5,0.5,0.49,0.47,0.32,0.68,0.27,0.36,0.32,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.33,0
81,0.48,0.5,0.5,0.49,0.47,0.32,0.67,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0
82,0.49,0.5,0.5,0.49,0.49,0.32,0.66,0.3,0.32,0.33,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0
83,0.49,0.5,0.5,0.49,0.48,0.32,0.66,0.29,0.34,0.33,0.35,0.34,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0
84,0.48,0.5,0.5,0.49,0.49,0.32,0.66,0.41,0.4,0.34,0.35,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.34,0
85,0.48,0.5,0.5,0.49,0.48,0.32,0.65,0.32,0.41,0.35,0.36,0.36,0.36,0.35,0.36,0.36,0.35,0.36,0.35,0
86,0.49,0.5,0.5,0.49,0.49,0.32,0.64,0.36,0.35,0.36,0.37,0.36,0.36,0.36,0.36,0.37,0.36,0.36,0.35,0
87,0.48,0.5,0.5,0.49,0.5,0.32,0.64,0.36,0.36,0.36,0.37,0.37,0.37,0.36,0.37,0.37,0.36,0.37,0.37,0
88,0.49,0.5,0.5,0.49,0.49,0.32,0.63,0.28,0.35,0.37,0.38,0.37,0.37,0.37,0.37,0.38,0.36,0.37,0.36,0
89,0.5,0.5,0.5,0.49,0.5,0.32,0.63,0.32,0.35,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.36,0.37,0.36,0
90,0.47,0.5,0.5,0.49,0.47,0.32,0.63,0.38,0.36,0.37,0.39,0.38,0.38,0.37,0.38,0.39,0.36,0.37,0.37,0
91,0.48,0.5,0.5,0.49,0.47,0.32,0.63,0.37,0.36,0.38,0.39,0.39,0.38,0.38,0.38,0.39,0.37,0.38,0.37,0
92,0.49,0.5,0.5,0.49,0.49,0.32,0.62,0.42,0.38,0.37,0.39,0.39,0.39,0.38,0.39,0.39,0.37,0.38,0.37,0
93,0.48,0.5,0.5,0.49,0.5,0.32,0.62,0.42,0.41,0.38,0.4,0.4,0.39,0.39,0.39,0.4,0.38,0.39,0.38,0
94,0.49,0.5,0.5,0.49,0.5,0.32,0.61,0.4,0.41,0.38,0.4,0.4,0.4,0.39,0.4,0.4,0.39,0.39,0.39,0
95,0.48,0.5,0.5,0.49,0.5,0.32,0.61,0.35,0.37,0.39,0.41,0.4,0.4,0.39,0.4,0.41,0.39,0.39,0.38,0
96,0.49,0.5,0.5,0.49,0.51,0.32,0.61,0.35,0.39,0.38,0.41,0.4,0.4,0.39,0.4,0.41,0.38,0.39,0.38,0
97,0.52,0.5,0.5,0.49,0.51,0.32,0.61,0.36,0.37,0.38,0.41,0.4,0.4,0.4,0.4,0.41,0.39,0.39,0.38,0
98,0.53,0.5,0.5,0.49,0.51,0.32,0.61,0.34,0.37,0.38,0.4,0.4,0.4,0.39,0.4,0.4,0.37,0.39,0.38,0
99,0.5,0.5,0.5,0.49,0.49,0.32,0.61,0.35,0.39,0.39,0.41,0.41,0.41,0.4,0.41,0.41,0.39,0.4,0.38,0
100,0.49,0.5,0.5,0.49,0.51,0.32,0.6,0.32,0.4,0.39,0.41,0.41,0.41,0.4,0.41,0.41,0.39,0.4,0.39,0
101,0.5,0.5,0.5,0.49,0.51,0.32,0.6,0.36,0.39,0.4,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.4,0.39,0
102,0.5,0.5,0.5,0.49,0.51,0.32,0.6,0.39,0.41,0.4,0.42,0.42,0.42,0.41,0.42,0.42,0.4,0.4,0.39,0
103,0.48,0.5,0.5,0.49,0.5,0.32,0.59,0.33,0.44,0.41,0.43,0.42,0.42,0.42,0.42,0.43,0.4,0.41,0.39,0
104,0.49,0.5,0.5,0.49,0.51,0.32,0.59,0.33,0.4,0.4,0.43,0.42,0.42,0.41,0.42,0.43,0.4,0.41,0.39,0
105,0.49,0.5,0.5,0.49,0.51,0.32,0.59,0.35,0.43,0.41,0.43,0.43,0.43,0.42,0.43,0.43,0.4,0.41,0.39,0
106,0.5,0.5,0.5,0.49,0.51,0.32,0.59,0.44,0.48,0.42,0.43,0.43,0.43,0.42,0.43,0.43,0.4,0.41,0.4,0
107,0.51,0.5,0.5,0.55,0.53,0.32,0.59,0.48,0.43,0.42,0.44,0.43,0.43,0.42,0.43,0.44,0.41,0.42,0.4,0
108,0.51,0.5,0.5,0.49,0.52,0.32,0.58,0.4,0.4,0.42,0.44,0.44,0.43,0.43,0.43,0.44,0.4,0.42,0.4,0
109,0.49,0.5,0.5,0.55,0.51,0.32,0.58,0.38,0.42,0.42,0.45,0.44,0.44,0.44,0.44,0.45,0.41,0.43,0.41,0
110,0.47,0.5,0.5,0.55,0.5,0.32,0.57,0.44,0.43,0.42,0.45,0.45,0.44,0.44,0.44,0.45,0.43,0.43,0.42,0
111,0.5,0.5,0.5,0.49,0.52,0.32,0.57,0.52,0.44,0.42,0.45,0.45,0.44,0.44,0.44,0.45,0.42,0.43,0.41,0
112,0.48,0.5,0.5,0.55,0.52,0.32,0.57,0.49,0.41,0.42,0.46,0.45,0.45,0.44,0.45,0.46,0.43,0.44,0.41,0
113,0.52,0.5,0.5,0.49,0.52,0.32,0.57,0.45,0.43,0.42,0.46,0.46,0.45,0.45,0.45,0.46,0.43,0.44,0.42,0
114,0.49,0.5,0.5,0.49,0.51,0.32,0.56,0.39,0.45,0.43,0.46,0.46,0.46,0.45,0.46,0.46,0.43,0.44,0.42,0
115,0.52,0.5,0.5,0.55,0.51,0.32,0.56,0.39,0.46,0.44,0.47,0.46,0.46,0.45,0.46,0.47,0.43,0.44,0.42,0
116,0.47,0.5,0.5,0.49,0.53,0.32,0.56,0.41,0.43,0.44,0.47,0.47,0.47,0.46,0.47,0.47,0.44,0.45,0.42,0
117,0.51,0.5,0.5,0.49,0.5,0.32,0.55,0.5,0.44,0.44,0.47,0.47,0.47,0.46,0.47,0.47,0.44,0.45,0.42,0
118,0.49,0.5,0.5,0.49,0.51,0.32,0.55,0.47,0.46,0.45,0.48,0.48,0.47,0.47,0.47,0.48,0.44,0.45,0.43,0
119,0.53,0.5,0.5,0.49,0.51,0.32,0.55,0.44,0.48,0.45,0.48,0.48,0.48,0.47,0.48,0.48,0.44,0.46,0.43,0
120,0.48,0.5,0.5,0.74,0.51,0.32,0.54,0.41,0.46,0.46,0.49,0.49,0.48,0.48,0.48,0.49,0.45,0.46,0.43,0
121,0.49,0.5,0.5,0.49,0.49,0.32,0.54,0.35,0.45,0.46,0.5,0.49,0.49,0.49,0.49,0.5,0.45,0.47,0.44,0
122,0.48,0.5,0.5,0.49,0.52,0.32,0.53,0.41,0.44,0.47,0.5,0.49,0.49,0.49,0.49,0.5,0.45,0.47,0.44,0
123,0.48,0.5,0.5,0.49,0.53,0.32,0.53,0.42,0.49,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.46,0.48,0.44,0
124,0.52,0.5,0.5,0.55,0.52,0.58,0.52,0.42,0.51,0.47,0.51,0.51,0.51,0.51,0.51,0.51,0.47,0.48,0.45,0
125,0.49,0.5,0.5,0.49,0.53,0.32,0.52,0.45,0.46,0.48,0.51,0.51,0.51,0.5,0.51,0.51,0.47,0.48,0.45,0
126,0.5,0.5,0.5,0.55,0.52,0.58,0.52,0.47,0.5,0.49,0.52,0.52,0.51,0.51,0.51,0.52,0.48,0.49,0.46,0
127,0.53,0.5,0.5,0.55,0.52,0.58,0.51,0.86,0.51,0.49,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.49,0.47,0
128,0.52,0.5,0.5,0.62,0.52,0.58,0.51,0.52,0.51,0.49,0.53,0.53,0.52,0.52,0.52,0.53,0.49,0.5,0.47,0
129,0.53,0.5,0.5,0.49,0.53,0.58,0.5,0.51,0.52,0.5,0.53,0.53,0.53,0.53,0.53,0.53,0.49,0.5,0.46,0
130,0.52,0.5,0.5,0.49,0.51,0.58,0.5,0.41,0.53,0.5,0.53,0.53,0.53,0.53,0.53,0.53,0.48,0.5,0.46,0
131,0.52,0.5,0.5,0.49,0.52,0.58,0.5,0.46,0.51,0.51,0.54,0.54,0.53,0.53,0.53,0.54,0.49,0.51,0.47,0
132,0.55,0.5,0.5,0.49,0.51,0.58,0.49,0.42,0.52,0.51,0.54,0.54,0.53,0.54,0.53,0.54,0.5,0.51,0.47,0
133,0.57,0.5,0.5,0.49,0.52,0.58,0.5,0.35,0.47,0.51,0.54,0.54,0.53,0.54,0.53,0.54,0.49,0.51,0.47,0
134,0.58,0.5,0.5,0.49,0.52,0.58,0.49,0.4,0.53,0.51,0.55,0.54,0.54,0.54,0.54,0.55,0.5,0.51,0.48,0
135,0.55,0.5,0.5,0.49,0.53,0.58,0.49,0.42,0.53,0.51,0.55,0.55,0.54,0.54,0.54,0.55,0.5,0.52,0.48,0
136,0.59,0.5,0.5,0.55,0.51,0.58,0.49,0.43,0.53,0.52,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.52,0.48,0
137,0.59,0.5,0.5,0.49,0.53,0.58,0.49,0.39,0.52,0.51,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.52,0.48,0
138,0.56,0.5,0.5,0.49,0.51,0.58,0.48,0.37,0.51,0.51,0.56,0.56,0.55,0.55,0.55,0.56,0.5,0.52,0.48,0
139,0.53,0.5,0.5,0.49,0.52,0.58,0.48,0.5,0.5,0.52,0.56,0.56,0.55,0.55,0.55,0.56,0.51,0.52,0.48,0
140,0.49,0.5,0.5,0.49,0.53,0.58,0.48,0.48,0.51,0.52,0.56,0.56,0.55,0.56,0.55,0.56,0.51,0.53,0.48,0
141,0.49,0.5,0.5,0.49,0.52,0.58,0.47,0.51,0.56,0.53,0.56,0.56,0.56,0.56,0.56,0.56,0.52,0.53,0.5,0
142,0.49,0.5,0.5,0.55,0.51,0.58,0.47,0.57,0.54,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.52,0.53,0.49,0
143,0.52,0.5,0.5,0.49,0.53,0.58,0.46,0.55,0.56,0.54,0.58,0.58,0.57,0.58,0.57,0.58,0.52,0.54,0.49,0
144,0.5,0.5,0.5,0.49,0.52,0.58,0.46,0.51,0.54,0.54,0.58,0.58,0.57,0.58,0.57,0.58,0.53,0.54,0.5,0
145,0.51,0.5,0.5,0.49,0.52,0.58,0.46,0.43,0.53,0.54,0.58,0.58,0.58,0.58,0.58,0.58,0.53,0.55,0.5,0
146,0.52,0.5,0.5,0.49,0.51,0.58,0.45,0.5,0.55,0.55,0.59,0.59,0.58,0.59,0.58,0.59,0.53,0.55,0.5,0
147,0.53,0.5,0.5,0.49,0.51,0.58,0.45,0.49,0.59,0.56,0.59,0.59,0.59,0.6,0.59,0.59,0.54,0.56,0.5,0
148,0.5,0.5,0.5,0.49,0.52,0.58,0.44,0.5,0.6,0.57,0.6,0.6,0.6,0.61,0.6,0.6,0.54,0.57,0.51,0
149,0.49,0.5,0.5,0.49,0.52,0.58,0.43,0.46,0.56,0.57,0.61,0.62,0.61,0.62,0.61,0.61,0.55,0.57,0.51,0
150,0.52,0.5,0.5,0.49,0.51,0.58,0.43,0.48,0.57,0.58,0.61,0.62,0.61,0.63,0.61,0.61,0.55,0.58,0.52,0
151,0.5,0.5,0.5,0.49,0.52,0.58,0.42,0.57,0.56,0.58,0.62,0.62,0.61,0.62,0.61,0.62,0.56,0.58,0.52,0
152,0.51,0.5,0.5,0.49,0.51,0.58,0.43,0.5,0.58,0.58,0.61,0.62,0.61,0.62,0.61,0.61,0.55,0.58,0.52,0
153,0.5,0.5,0.5,0.49,0.51,0.58,0.43,0.58,0.53,0.57,0.61,0.61,0.6,0.61,0.6,0.61,0.55,0.57,0.52,0
154,0.51,0.5,0.5,0.49,0.52,0.58,0.43,0.48,0.53,0.57,0.61,0.61,0.6,0.61,0.6,0.61,0.55,0.57,0.51,0
155,0.53,0.5,0.5,0.49,0.51,0.58,0.43,0.45,0.51,0.57,0.61,0.61,0.6,0.61,0.6,0.61,0.55,0.57,0.51,0
156,0.5,0.5,0.5,0.55,0.53,0.58,0.43,0.46,0.55,0.57,0.6,0.61,0.6,0.61,0.6,0.6,0.55,0.57,0.51,0
157,0.5,0.5,0.5,0.49,0.51,0.58,0.44,0.58,0.59,0.57,0.6,0.6,0.59,0.6,0.59,0.6,0.54,0.56,0.51,0
158,0.51,0.5,0.5,0.49,0.5,0.58,0.45,0.57,0.57,0.55,0.59,0.59,0.59,0.59,0.59,0.59,0.54,0.56,0.5,0
159,0.51,0.5,0.5,0.49,0.53,0.58,0.45,0.52,0.56,0.55,0.59,0.59,0.58,0.59,0.58,0.59,0.53,0.56,0.51,0
160,0.52,0.5,0.5,0.55,0.5,0.58,0.45,0.54,0.58,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.53,0.55,0.5,0
161,0.49,0.5,0.5,0.55,0.51,0.58,0.45,0.53,0.56,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.52,0.55,0.49,0
162,0.47,0.5,0.5,0.49,0.53,0.58,0.46,0.49,0.54,0.54,0.57,0.57,0.57,0.57,0.57,0.57,0.51,0.54,0.49,0
163,0.5,0.5,0.5,0.49,0.52,0.58,0.47,0.42,0.58,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.52,0.54,0.49,0
164,0.49,0.5,0.5,0.49,0.52,0.58,0.47,0.48,0.56,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.51,0.54,0.48,0
165,0.52,0.5,0.5,0.49,0.52,0.58,0.47,0.5,0.56,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.51,0.53,0.48,0
166,0.54,0.5,0.5,0.49,0.53,0.58,0.47,0.51,0.57,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.51,0.54,0.48,0
167,0.52,0.5,0.5,0.49,0.51,0.58,0.47,0.48,0.52,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.51,0.53,0.48,0
168,0.51,0.5,0.5,0.49,0.51,0.58,0.47,0.48,0.58,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.51,0.53,0.48,0
169,0.57,0.5,0.5,0.74,0.51,0.58,0.45,0.42,0.58,0.55,0.59,0.59,0.58,0.59,0.58,0.59,0.53,0.55,0.5,0
170,0.5,0.5,0.5,0.62,0.52,0.58,0.46,0.51,0.53,0.53,0.57,0.57,0.56,0.57,0.56,0.57,0.52,0.54,0.5,0
171,0.52,0.5,0.5,0.49,0.52,0.58,0.47,0.43,0.55,0.53,0.56,0.56,0.56,0.56,0.56,0.56,0.5,0.54,0.48,0
172,0.48,0.5,0.5,0.49,0.52,0.58,0.47,0.48,0.54,0.52,0.57,0.57,0.56,0.56,0.56,0.57,0.51,0.54,0.48,0
