Data,ClassEntropy,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilityMin,ClassProbabilitySTD,DatasetRatio,InverseDatasetRatio,KurtosisMax,KurtosisMean,KurtosisMin,KurtosisSTD,Landmark1NN,LandmarkDecisionNodeLearner,LandmarkDecisionTree,LandmarkLDA,LandmarkNaiveBayes,LandmarkRandomNodeLearner,LogDatasetRatio,LogInverseDatasetRatio,LogNumberOfFeatures,LogNumberOfInstances,NumberOfCategoricalFeatures,NumberOfClasses,NumberOfFeatures,NumberOfFeaturesWithMissingValues,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,PCAFractionOfComponentsFor95PercentVariance,PCAKurtosisFirstPC,PCASkewnessFirstPC,PercentageOfFeaturesWithMissingValues,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,RatioNominalToNumerical,RatioNumericalToNominal,SkewnessMax,SkewnessMean,SkewnessMin,SkewnessSTD,SymbolsMax,SymbolsMean,SymbolsMin,SymbolsSTD,SymbolsSum
1036,0.333564012,0.938450851,0.5,0.061549149,0.438450851,0.01500521,66.64351852,14390.00124,550.0358797,-3,1856.02151,0.980062252,0.938450982,0.990552756,0.984438314,0.959778198,0.938450982,-4.199357795,4.199357795,5.375278408,9.574636203,0,2,216,0,14395,0,0,216,0.777777778,2.519628525,1.430913806,0,0,0,0,0,119.9666672,13.10132843,-1.178834915,19.49374817,0,0,0,0,0
1038,0.999798227,0.508362168,0.5,0.491637832,0.008362168,0.279700115,3.575257732,283.446122,18.61988585,-1.826241612,39.29670438,0.788349932,0.733239929,0.856954922,0.829594671,0.785755492,0.504328621,-1.274037266,1.274037266,6.877296071,8.151333338,0,2,970,0,3468,0,0,970,0.355670103,0.77532196,0.913739622,0,0,0,0,0,16.11059952,2.933008675,-0.244499803,3.266601994,0,0,0,0,0
1040,0.333564012,0.938450851,0.5,0.061549149,0.438450851,0.007502605,133.287037,14390.00467,776.8197381,-3,2494.310243,0.99048278,0.938450982,0.989788143,0.983605222,0.960751386,0.938450982,-4.892504976,4.892504976,4.682131227,9.574636203,0,2,108,0,14395,0,0,108,0.787037037,2.588204384,-1.463553429,0,0,0,0,0,119.9666901,14.90629429,-1.175549507,23.58438942,0,0,0,0,0
1041,3.318768968,0.110438293,0.1,0.09083045,0.006615495,0.226066897,4.423469388,3463.001991,336.5053964,-3,845.4949255,0.87512229,0.207045934,0.730427833,0.808891565,0.55384979,0.187458681,-1.486924318,1.486924318,6.66440902,8.151333338,0,10,784,0,3468,0,0,784,0.31505102,1.462277889,-1.200107217,0,0,0,0,0,58.86427307,9.158232883,-0.195301771,15.64180218,0,0,0,0,0
1043,0.808311616,0.751863218,0.5,0.248136782,0.251863218,0.010521701,95.04166667,4557.001741,257.7222409,-3,953.0886114,0.770720565,0.751863795,0.79329005,0.833181216,0.544287209,0.751863795,-4.554315392,4.554315392,3.871201011,8.425516403,0,2,48,0,4562,0,0,48,0.770833333,-1.385121703,0.013296504,0,0,0,0,0,67.52038574,7.150575013,-1.930162907,14.42699596,0,0,0,0,0
1044,1.566247825,0.389722019,0.333333333,0.262435991,0.052967342,0.00246891,405.037037,112.698304,26.66323705,-1.200743604,33.8338432,0.563826081,0.430322655,0.622254678,0.490848697,0.427765412,0.406548957,-6.003978512,6.003978512,3.295836866,9.299815378,3,3,27,0,10936,0,0,24,0.633333333,5.636147481,1.619646252,0,0,0,0.125,8,9.106201914,3.275815643,-1.30E-18,2.675907966,2,2,2,0,6
1045,0.307975329,0.944827586,0.5,0.055172414,0.444827586,0.648275862,1.542553191,67.51398779,11.33179608,-3,14.63148544,0.931831502,0.931831502,0.903113553,0.911831502,0.867252747,0.946190476,-0.43343896,0.43343896,4.543294782,4.976733742,0,2,94,0,145,0,0,94,0.180851064,3.552359104,1.705561757,0,0,0,0,0,8.337506294,2.469140812,-1.095258236,1.8306461,0,0,0,0,0
1046,0.913483831,0.671405597,0.5,0.328594403,0.171405597,0.000321647,3109,53.57331848,9.971884337,-1.924848574,21.81149523,0.881634514,0.934448793,0.934127001,0.806882859,0.690192628,0.671405632,-8.04205641,8.04205641,1.609437912,9.651494322,0,2,5,0,15545,0,0,5,0.8,-0.136389256,0.919326961,0,0,0,0,0,5.892052174,1.471329857,-0.274138033,2.269157022,0,0,0,0,0
1048,0.991927046,0.552845528,0.5,0.447154472,0.052845528,0.021680217,46.125,89.71899414,38.19136469,-1.329630256,36.55225484,0.650169907,0.5293425,0.615591908,0.620859017,0.52568753,0.599506085,-3.831355102,3.831355102,2.079441542,5.910796644,0,2,8,0,369,0,0,8,0.625,34.4363327,-4.817249775,0,0,0,0,0,8.434929848,4.384561405,-0.375310063,3.290135021,0,0,0,0,0
1049,0.535324722,0.877914952,0.5,0.122085048,0.377914952,0.025377229,39.40540541,768.9856558,104.7230005,-1.509888887,148.7757364,0.88,0.877921587,0.885436939,0.907392537,0.876542277,0.877921587,-3.673903,3.673903,3.610917913,7.284820913,0,2,37,0,1458,0,0,37,0.405405405,17.02150345,-3.223246574,0,0,0,0,0,25.45763397,6.443644042,-0.463453293,5.10214431,0,0,0,0,0
1050,0.476454971,0.897632758,0.5,0.102367242,0.397632758,0.023672425,42.24324324,1036.012451,238.1864817,-1.481336002,268.3187769,0.872717622,0.89763188,0.851571942,0.890613261,0.46518455,0.89763188,-3.743444418,3.743444418,3.610917913,7.35436233,0,2,37,0,1563,0,0,37,0.351351351,282.1505432,12.88049603,0,0,0,0,0,30.45972824,10.31441462,-0.58893913,8.275274351,0,0,0,0,0
1054,0.907594165,0.677018634,0.5,0.322981366,0.177018634,0.242236025,4.128205128,20.33580987,8.856117276,-1.147039533,5.719254268,0.697965686,0.707843137,0.682794118,0.683946078,0.733210784,0.695710784,-1.417842719,1.417842719,3.663561646,5.081404365,0,2,39,0,161,0,0,39,0.282051282,9.1891222,2.762178659,0,0,0,0,0,4.357198238,2.470189744,-1.332507491,1.316884112,0,0,0,0,0
1055,0.768691303,0.775280899,0.5,0.224719101,0.275280899,0.08988764,11.125,39.52298851,10.13595047,2.017206478,12.59815668,0.752777778,0.775,0.752777778,0.686111111,0.608333333,0.775,-2.409194828,2.409194828,2.079441542,4.48863637,1,2,8,0,89,0,0,7,0.6,2.327927311,1.693061355,0,0,0,0.142857143,7,6.44383337,2.970467037,1.726373266,1.553276508,3,3,3,0,3
1056,0.061481433,0.992816396,0.5,0.007183604,0.492816396,0.004014367,249.1052632,4582.773087,826.0889537,-1.956662893,1146.675699,0.993448987,0.992816748,0.994295324,0.975810775,0.936720806,0.992816748,-5.517875551,5.517875551,3.63758616,9.15546171,0,2,38,0,9466,0,0,38,0.368421053,717.5955811,-19.05817795,0,0,0,0,0,67.24964905,17.76724944,-1.97544384,16.87187413,0,0,0,0,0
1059,0.382060954,0.925619835,0.5,0.074380165,0.425619835,0.239669421,4.172413793,45.41973064,7.690276956,-1.134144219,9.646351914,0.925641026,0.926282051,0.875524476,0.902564103,0.698135198,0.926282051,-1.428494716,1.428494716,3.36729583,4.795790546,0,2,29,0,121,0,0,29,0.310344828,4.873206615,-1.864887118,0,0,0,0,0,6.405302525,2.220180553,0.003909946,1.323342959,0,0,0,0,0
1060,0.549108745,0.873015873,0.5,0.126984127,0.373015873,0.46031746,2.172413793,30.1835443,8.013814485,-0.64332544,7.17437708,0.90952381,0.918095238,0.858571429,0.860952381,0.852857143,0.898095238,-0.775838896,0.775838896,3.36729583,4.143134726,0,2,29,0,63,0,0,29,0.275862069,5.155508995,-2.105021238,0,0,0,0,0,5.036952019,2.459793226,-0.140535831,1.042743055,0,0,0,0,0
1061,0.694974967,0.813084112,0.5,0.186915888,0.313084112,0.271028037,3.689655172,44.18273544,17.47393789,-0.185591265,13.20836078,0.785454545,0.814545455,0.768181818,0.852727273,0.861818182,0.861818182,-1.305533004,1.305533004,3.36729583,4.672828834,0,2,29,0,107,0,0,29,0.275862069,20.59246635,3.869280815,0,0,0,0,0,6.685526371,3.310167533,-0.443244547,1.796762588,0,0,0,0,0
1062,0.764204507,0.777777778,0.5,0.222222222,0.277777778,0.805555556,1.24137931,14.9146051,5.638101595,-0.541855097,3.272833024,0.8,0.925,0.9,0.725,0.85,0.8,-0.216223108,0.216223108,3.36729583,3.583518938,0,2,29,0,36,0,0,29,0.24137931,5.109066963,-2.006716013,0,0,0,0,0,3.650631666,2.103565815,0.212810367,0.691641251,0,0,0,0,0
1063,0.731778619,0.795019157,0.5,0.204980843,0.295019157,0.040229885,24.85714286,318.1755371,128.8540488,1.961354733,86.67786048,0.769937249,0.80848274,0.812591423,0.827871453,0.829610262,0.79494721,-3.21314515,3.21314515,3.044522438,6.257667588,0,2,21,0,522,0,0,21,0.238095238,131.4053345,9.519731522,0,0,0,0,0,16.7404213,8.927345395,1.043470621,4.239857771,0,0,0,0,0
1064,0.606111207,0.851485149,0.5,0.148514851,0.351485149,0.287128713,3.482758621,46.29821365,11.83942265,-0.394074628,17.14529093,0.856666667,0.812222222,0.786060606,0.860808081,0.841515152,0.854646465,-1.247824687,1.247824687,3.36729583,4.615120517,0,2,29,0,101,0,0,29,0.24137931,1.364985466,1.351101756,0,0,0,0,0,6.935419083,2.738885019,0.257636636,2.145369391,0,0,0,0,0
1065,0.449310976,0.906113537,0.5,0.093886463,0.406113537,0.085152838,11.74358974,134.1347525,18.71357316,-1.495996832,24.80624354,0.890788365,0.906249358,0.880059616,0.899586802,0.851267345,0.906249358,-2.463307538,2.463307538,3.663561646,6.126869184,0,2,39,0,458,0,0,39,0.256410256,12.73615265,3.028117895,0,0,0,0,0,9.998589516,3.090972795,-2.011446714,2.192713537,0,0,0,0,0
1066,0.978449329,0.586206897,0.5,0.413793103,0.086206897,0.648275862,1.542553191,67.51398779,11.33179608,-3,14.63148544,0.723333333,0.719047619,0.674761905,0.680952381,0.688571429,0.585714286,-0.43343896,0.43343896,4.543294782,4.976733742,0,2,94,0,145,0,0,94,0.180851064,3.552359104,1.705561757,0,0,0,0,0,8.337506294,2.469140812,-1.095258236,1.8306461,0,0,0,0,0
1067,0.621173342,0.845424372,0.5,0.154575628,0.345424372,0.009957326,100.4285714,102.8319855,31.77507882,1.235610485,28.47021124,0.822204622,0.845430075,0.830263985,0.858210656,0.824100335,0.845430075,-4.609446743,4.609446743,3.044522438,7.65396918,0,2,21,0,2109,0,0,21,0.333333333,17.99316025,3.448182106,0,0,0,0,0,8.782782555,4.200187916,1.139954329,1.967587427,0,0,0,0,0
1068,0.363800105,0.930568079,0.5,0.069431921,0.430568079,0.018935978,52.80952381,408.6346741,115.5173427,13.66287804,104.4476353,0.923363315,0.930587341,0.907965953,0.923347081,0.890028519,0.928752779,-3.96669155,3.96669155,3.044522438,7.011213987,0,2,21,0,1109,0,0,21,0.380952381,88.38054657,-7.153527737,0,0,0,0,0,18.5251236,7.997669549,2.169271469,3.980557693,0,0,0,0,0
1069,0.038537181,0.995884774,0.5,0.004115226,0.495884774,0.006441224,155.25,2753.649489,681.437129,-1.02311635,715.1770512,0.992306711,0.99588582,0.991057356,0.990160978,0.971023774,0.99588582,-5.045036721,5.045036721,3.583518938,8.628555659,0,2,36,0,5589,0,0,36,0.277777778,719.2261353,20.13447571,0,0,0,0,0,45.830513,17.14622742,-2.76834631,13.03315109,0,0,0,0,0
1071,0.391243564,0.923076923,0.5,0.076923077,0.423076923,0.091811414,10.89189189,56.43342046,11.49242474,-1.523055258,13.11797572,0.878699187,0.905781069,0.850844948,0.918162021,0.833463995,0.923159117,-2.388018649,2.388018649,3.610917913,5.998936562,0,2,37,0,403,0,0,37,0.297297297,4.041664124,1.846059442,0,0,0,0,0,7.269940376,2.509911745,-1.267155886,1.525081866,0,0,0,0,0
1073,0.999654076,0.510948905,0.5,0.489051095,0.010948905,0.02919708,34.25,99.94854736,37.61563632,-1.377103925,37.68727239,0.675396825,0.704232804,0.697751323,0.69047619,0.682804233,0.643121693,-3.533686565,3.533686565,2.079441542,5.613128106,0,2,8,0,274,0,0,8,0.625,30.82920074,4.655107498,0,0,0,0,0,9.016893387,4.405748308,-0.259121537,3.381945841,0,0,0,0,0
1075,0.41823657,0.915384615,0.5,0.084615385,0.415384615,0.061538462,16.25,6.576421362,3.312418793,-1.976190442,2.673705334,0.900457875,0.908150183,0.88507326,0.88507326,0.785622711,0.915842491,-2.788092909,2.788092909,2.079441542,4.86753445,0,2,8,0,130,0,0,8,0.5,2.975593567,1.538241506,0,0,0,0,0,2.033634901,1.511539444,0.154303432,0.570087243,0,0,0,0,0
1077,1.263850223,0.552380952,0.333333333,0.066666667,0.201130591,212.2190476,0.004712112,88.92982774,1.93445346,-1.160598636,3.92534983,0.58020202,0.598383838,0.473434343,0.535050505,0.556969697,0.496565657,5.357618985,-5.357618985,10.01157933,4.65396035,0,3,22283,0,105,0,0,22283,0.003679935,-0.062419415,-0.193107694,0,0,0,0,0,9.270062447,0.385437408,-8.061332703,0.924041744,0,0,0,0,0
1078,1.263850223,0.552380952,0.333333333,0.066666667,0.201130591,212.2190476,0.004712112,88.92982774,1.93445346,-1.160598636,3.92534983,0.58020202,0.598383838,0.473434343,0.535050505,0.556969697,0.496565657,5.357618985,-5.357618985,10.01157933,4.65396035,0,3,22283,0,105,0,0,22283,0.003679935,-0.062419415,-0.193107694,0,0,0,0,0,9.270062447,0.385437408,-8.061332703,0.924041744,0,0,0,0,0
1079,2.181322431,0.284210526,0.2,0.052631579,0.078489903,234.4947368,0.004264488,28.36915413,0.486509946,-1.538751116,1.903481411,0.757828283,0.448181818,0.750808081,0.753535354,0.819368687,0.369848485,5.457433143,-5.457433143,10.01131004,4.553876892,0,5,22277,0,95,0,0,22277,0.003860484,-0.328139305,-0.664667904,0,0,0,0,0,4.483501434,-0.265832096,-4.604210854,0.784045331,0,0,0,0,0
1080,1.976231283,0.451327434,0.2,0.088495575,0.144288501,483.8495575,0.002066758,102.3933083,1.576248125,-1.868216546,3.732811724,0.399350649,0.520779221,0.357142857,0.502597403,0.408441558,0.451948052,6.181774027,-6.181774027,10.90916185,4.727387819,0,5,54675,0,113,0,0,54675,0.001646091,1.083429813,0.835655153,0,0,0,0,0,10.08588409,0.794710804,-2.70801878,0.685656126,0,0,0,0,0
1081,1.790483686,0.483146067,0.25,0.112359551,0.140421346,613.6292135,0.001629649,66.08068727,0.807379688,-1.859960148,2.199125317,0.663333333,0.575555556,0.611388889,0.681111111,0.671388889,0.435833333,6.419390859,-6.419390859,10.90802723,4.48863637,0,4,54613,0,89,0,0,54613,0.001409921,-0.535614014,-0.706085145,0,0,0,0,0,6.404469967,-0.233389667,-7.776824951,0.740483668,0,0,0,0,0
1082,1.80356772,0.576086957,0.2,0.076086957,0.190214286,641.3478261,0.001559216,83.09010342,0.963609613,-1.41625011,5.030018532,0.624689755,0.578023088,0.442554113,0.734430014,0.731255411,0.579047619,6.46357194,-6.46357194,10.98536052,4.521788577,0,5,59004,0,92,0,0,59004,0.001237204,-0.475459576,0.076877207,0,0,0,0,0,9.121827126,0.379596215,-1.862823606,0.755752055,0,0,0,0,0
1084,1.398208844,0.581818182,0.333333333,0.2,0.175862038,101.2863636,0.009872997,162.053929,2.584491787,-1.717501692,10.07806383,0.807114625,0.754802372,0.785889328,0.90027668,0.805039526,0.582450593,4.617951789,-4.617951789,10.01157933,5.393627546,0,3,22283,0,220,0,0,22283,0.007763766,-0.516903162,0.05983711,0,0,0,0,0,11.93551445,0.527758889,-4.101751328,1.094938978,0,0,0,0,0
11,1.318116246,0.4608,0.333333333,0.0784,0.180265089,0.0064,156.25,-1.299999785,-1.299999812,-1.299999821,1.55E-08,0.768004163,0.579462659,0.780856102,0.864266198,0.907306792,0.63541504,-5.051457289,5.051457289,1.386294361,6.43775165,0,3,4,0,625,0,0,4,1,-1.300000429,-4.58E-09,0,0,0,0,0,7.63E-09,1.14E-09,-6.10E-09,4.99E-09,0,0,0,0,0
1100,1.465322403,0.516736402,0.333333333,0.188284519,0.136805084,0.020920502,47.8,-0.294103133,-0.900127049,-1.33593574,0.374161726,0.478859097,0.497873245,0.489491967,0.514456687,0.485105478,0.497873245,-3.867025639,3.867025639,2.302585093,6.169610732,4,3,10,0,478,0,0,6,0.454545455,-1.026086144,0.106657926,0,0,0,0.666666667,1.5,0.47966761,-0.068362737,-0.901466456,0.464828589,9,4,2,2.915475947,16
1104,0.931562768,0.652777778,0.5,0.347222222,0.152777778,99.01388889,0.010099593,66.97145701,3.428219706,-1.262147427,7.157283381,0.861309524,0.79047619,0.801190476,0.919047619,1,0.617857143,4.595260132,-4.595260132,8.871926251,4.276666119,0,2,7129,0,72,0,0,7129,0.008416328,-0.022660494,0.582350194,0,0,0,0,0,8.303570747,0.717762395,-8.191485405,1.416478107,0,0,0,0,0
1106,3.697010342,0.157894737,0.071428571,0.052631579,0.030606214,84.54210526,0.011828426,183.1636353,14.94130711,-1.656277735,22.36904709,0.601754386,0.21920078,0.600487329,0.733235867,0.689376218,0.209649123,4.437249697,-4.437249697,9.68427377,5.247024072,0,14,16063,0,190,0,0,16063,0.007221565,4.274822712,1.658394456,0,0,0,0,0,13.57456779,2.044837821,-13.42353725,2.564797386,0,0,0,0,0
1107,0.934068055,0.65,0.5,0.35,0.15,118.8166667,0.008416328,54.40029526,4.217960436,-1.097160947,6.210260651,0.572857143,0.618095238,0.583809524,0.614761905,0.668095238,0.65047619,4.777581689,-4.777581689,8.871926251,4.094344562,0,2,7129,0,60,0,0,7129,0.006312246,1.393968105,1.03484571,0,0,0,0,0,7.487051487,0.691900301,-7.317475319,1.542925792,0,0,0,0,0
1115,1.584520917,0.344370861,0.333333333,0.324503311,0.008259729,0.039735099,25.16666667,-0.375548346,-0.787826804,-1.200105263,0.412278459,0.62797619,0.383630952,0.932797619,0.64875,0.46375,0.344404762,-3.225520368,3.225520368,1.791759469,5.017279837,4,3,6,0,151,0,0,2,0.456140351,-0.494235277,0.200358793,0,0,0,2,0.5,0.493342183,0.246671091,2.52E-17,0.246671091,26,13.75,2,11.75531795,55
1116,0.620098559,0.845862383,0.5,0.154137617,0.345862383,0.0253107,39.50898204,51.09654411,1.717056333,-1.621996778,7.039624485,0.956651929,0.862992066,0.994089985,0.999696969,0.999696969,0.845862807,-3.676528039,3.676528039,5.117993812,8.794521852,1,2,167,0,6598,0,0,166,0.152985075,-1.423316358,0.241086738,0,0,0,0.006024096,166,6.316816451,0.481078039,-1.439739507,1.260434466,102,102,102,0,102
1117,1.359608822,0.567901235,0.333333333,0.12345679,0.182281766,0.135802469,7.363636364,6.855908836,1.931764781,-1.200366139,2.523893122,0.594246032,0.675198413,0.608730159,0.660714286,0.610119048,0.533730159,-1.996553882,1.996553882,2.397895273,4.394449155,0,3,11,0,81,0,0,11,0.727272727,3.588644505,-1.577600718,0,0,0,0,0,2.243876219,0.876124103,-0.444760174,0.967738501,0,0,0,0,0
1120,0.935515245,0.648370137,0.5,0.351629863,0.148370137,0.000525762,1902,16.76068306,4.271720656,-0.533878637,5.34867878,0.820661501,0.715194418,0.816455927,0.783963091,0.726865541,0.715194418,-7.550661243,7.550661243,2.302585093,9.853246336,0,2,10,0,19020,0,0,10,0.7,0.232513905,0.58035475,0,0,0,0,0,3.371362448,0.646294001,-1.122989416,1.259477125,0,0,0,0,0
1121,0.863120569,0.714285714,0.5,0.285714286,0.214285714,0.034013605,29.4,135.0974359,20.273985,0.142242264,46.89660276,0.979425287,1,1,0.78954023,1,0.786091954,-3.380994674,3.380994674,2.302585093,5.683579767,3,2,10,0,294,0,0,7,0.461538462,-0.257723886,-0.569821222,0,0,0,0.428571429,2.333333333,11.55743739,2.467719899,0.339285104,3.739504216,2,2,2,0,6
